date,matchday,home_team_id,away_team_id,home_score,away_score,winner
2025-12-27 15:00:00+00:00,18,16,3,2.0,1.0,HOME_TEAM
2025-12-27 15:00:00+00:00,18,14,13,4.0,1.0,HOME_TEAM
2025-12-27 15:00:00+00:00,18,15,18,0.0,0.0,DRAW
2025-12-27 15:00:00+00:00,18,1,6,2.0,1.0,HOME_TEAM
2025-12-27 15:00:00+00:00,18,11,19,0.0,1.0,AWAY_TEAM
2025-12-27 17:30:00+00:00,18,8,2,1.0,2.0,AWAY_TEAM
2025-12-28 14:00:00+00:00,18,4,10,1.0,1.0,DRAW
2025-12-28 16:30:00+00:00,18,17,5,0.0,1.0,AWAY_TEAM
2025-12-30 19:30:00+00:00,19,15,20,1.0,3.0,AWAY_TEAM
2025-12-30 19:30:00+00:00,19,8,13,2.0,2.0,DRAW
2025-12-30 19:30:00+00:00,19,7,18,0.0,2.0,AWAY_TEAM
2025-12-30 19:30:00+00:00,19,11,3,2.0,2.0,DRAW
2025-12-30 20:15:00+00:00,19,16,2,4.0,1.0,HOME_TEAM
2025-12-30 20:15:00+00:00,19,9,6,1.0,1.0,DRAW
2026-01-01 17:30:00+00:00,19,17,19,1.0,1.0,DRAW
2026-01-01 17:30:00+00:00,19,1,10,0.0,0.0,DRAW
2026-01-01 20:00:00+00:00,19,4,12,0.0,0.0,DRAW
2026-01-01 20:00:00+00:00,19,14,5,0.0,0.0,DRAW
2026-01-03 12:30:00+00:00,20,2,7,3.0,1.0,HOME_TEAM
2026-01-03 15:00:00+00:00,20,3,15,2.0,0.0,HOME_TEAM
2026-01-03 15:00:00+00:00,20,6,11,3.0,0.0,HOME_TEAM
2026-01-03 17:30:00+00:00,20,13,16,2.0,3.0,AWAY_TEAM
2026-01-04 12:30:00+00:00,20,10,9,1.0,1.0,DRAW
2026-01-04 15:00:00+00:00,20,18,14,2.0,4.0,AWAY_TEAM
2026-01-04 15:00:00+00:00,20,20,17,2.0,0.0,HOME_TEAM
2026-01-04 15:00:00+00:00,20,5,4,1.0,1.0,DRAW
2026-01-04 15:15:00+00:00,20,19,1,2.0,2.0,DRAW
2026-01-04 17:30:00+00:00,20,12,8,1.0,1.0,DRAW
2026-01-06 20:00:00+00:00,21,11,7,1.0,2.0,AWAY_TEAM
2026-01-07 19:30:00+00:00,21,13,5,3.0,2.0,HOME_TEAM
2026-01-07 19:30:00+00:00,21,17,2,0.0,0.0,DRAW
2026-01-07 19:30:00+00:00,21,14,4,3.0,0.0,HOME_TEAM
2026-01-07 19:30:00+00:00,21,18,6,1.0,1.0,DRAW
2026-01-07 19:30:00+00:00,21,19,8,2.0,1.0,HOME_TEAM
2026-01-07 19:30:00+00:00,21,12,3,1.0,1.0,DRAW
2026-01-07 20:15:00+00:00,21,15,9,2.0,2.0,DRAW
2026-01-07 20:15:00+00:00,21,20,10,4.0,3.0,HOME_TEAM
2026-01-08 20:00:00+00:00,21,16,1,0.0,0.0,DRAW
2026-01-17 12:30:00+00:00,22,9,12,2.0,0.0,HOME_TEAM
2026-01-17 15:00:00+00:00,22,4,17,2.0,1.0,HOME_TEAM
2026-01-17 15:00:00+00:00,22,8,14,2.0,0.0,HOME_TEAM
2026-01-17 15:00:00+00:00,22,1,15,1.0,1.0,DRAW
2026-01-17 15:00:00+00:00,22,10,19,1.0,0.0,HOME_TEAM
2026-01-17 15:00:00+00:00,22,5,11,1.0,2.0,AWAY_TEAM
2026-01-17 17:30:00+00:00,22,7,16,0.0,0.0,DRAW
2026-01-18 14:00:00+00:00,22,6,20,0.0,0.0,DRAW
2026-01-18 16:30:00+00:00,22,2,18,0.0,1.0,AWAY_TEAM
2026-01-19 20:00:00+00:00,22,3,13,1.0,1.0,DRAW
2026-01-24 12:30:00+00:00,23,11,4,3.0,1.0,HOME_TEAM
2026-01-24 15:00:00+00:00,23,15,5,2.0,2.0,DRAW
2026-01-24 15:00:00+00:00,23,19,3,2.0,1.0,HOME_TEAM
2026-01-24 15:00:00+00:00,23,12,6,2.0,0.0,HOME_TEAM
2026-01-24 17:30:00+00:00,23,13,1,3.0,2.0,HOME_TEAM
2026-01-25 14:00:00+00:00,23,17,8,1.0,3.0,AWAY_TEAM
2026-01-25 14:00:00+00:00,23,14,7,0.0,2.0,AWAY_TEAM
2026-01-25 14:00:00+00:00,23,20,2,0.0,2.0,AWAY_TEAM
2026-01-25 16:30:00+00:00,23,16,9,2.0,3.0,AWAY_TEAM
2026-01-26 20:00:00+00:00,23,18,10,1.0,1.0,DRAW
2026-01-31 15:00:00+00:00,24,3,18,1.0,1.0,DRAW
2026-01-31 15:00:00+00:00,24,10,16,0.0,4.0,AWAY_TEAM
2026-01-31 15:00:00+00:00,24,6,13,0.0,2.0,AWAY_TEAM
2026-01-31 17:30:00+00:00,24,8,11,3.0,2.0,HOME_TEAM
2026-01-31 20:00:00+00:00,24,1,20,4.0,1.0,HOME_TEAM
2026-02-01 14:00:00+00:00,24,2,14,0.0,1.0,AWAY_TEAM
2026-02-01 14:00:00+00:00,24,9,19,3.0,2.0,HOME_TEAM
2026-02-01 14:00:00+00:00,24,7,17,1.0,1.0,DRAW
2026-02-01 16:30:00+00:00,24,5,12,2.0,2.0,DRAW
2026-02-02 20:00:00+00:00,24,4,15,3.0,0.0,HOME_TEAM
2026-02-06 20:00:00+00:00,25,10,7,3.0,1.0,HOME_TEAM
2026-02-07 12:30:00+00:00,25,9,5,2.0,0.0,HOME_TEAM
2026-02-07 15:00:00+00:00,25,13,2,1.0,1.0,DRAW
2026-02-07 15:00:00+00:00,25,16,4,3.0,0.0,HOME_TEAM
2026-02-07 15:00:00+00:00,25,15,11,0.0,2.0,AWAY_TEAM
2026-02-07 15:00:00+00:00,25,19,18,1.0,2.0,AWAY_TEAM
2026-02-07 15:00:00+00:00,25,6,8,1.0,3.0,AWAY_TEAM
2026-02-07 17:30:00+00:00,25,20,14,2.0,3.0,AWAY_TEAM
2026-02-08 14:00:00+00:00,25,3,17,0.0,1.0,AWAY_TEAM
2026-02-08 16:30:00+00:00,25,1,12,1.0,2.0,AWAY_TEAM
2026-02-10 19:30:00+00:00,26,8,10,2.0,2.0,DRAW
2026-02-10 19:30:00+00:00,26,18,13,1.0,2.0,AWAY_TEAM
2026-02-10 19:30:00+00:00,26,5,20,1.0,2.0,AWAY_TEAM
2026-02-10 20:15:00+00:00,26,11,9,1.0,1.0,DRAW
2026-02-11 19:30:00+00:00,26,2,3,1.0,0.0,HOME_TEAM
2026-02-11 19:30:00+00:00,26,12,19,3.0,0.0,HOME_TEAM
2026-02-11 19:30:00+00:00,26,7,6,0.0,0.0,DRAW
2026-02-11 19:40:00+00:00,26,17,15,2.0,3.0,AWAY_TEAM
2026-02-11 20:15:00+00:00,26,4,1,0.0,1.0,AWAY_TEAM
2026-02-12 20:00:00+00:00,26,14,16,1.0,1.0,DRAW
2026-02-18 20:00:00+00:00,31,6,16,2.0,2.0,DRAW
2026-02-21 15:00:00+00:00,27,2,10,1.0,1.0,DRAW
2026-02-21 15:00:00+00:00,27,14,3,0.0,2.0,AWAY_TEAM
2026-02-21 15:00:00+00:00,27,8,15,1.0,1.0,DRAW
2026-02-21 17:30:00+00:00,27,11,13,0.0,0.0,DRAW
2026-02-21 20:00:00+00:00,27,12,20,2.0,1.0,HOME_TEAM
2026-02-22 14:00:00+00:00,27,4,19,1.0,3.0,AWAY_TEAM
2026-02-22 14:00:00+00:00,27,17,6,1.0,0.0,HOME_TEAM
2026-02-22 14:00:00+00:00,27,7,1,0.0,1.0,AWAY_TEAM
2026-02-22 16:30:00+00:00,27,5,16,1.0,4.0,AWAY_TEAM
2026-02-23 20:00:00+00:00,27,18,9,0.0,1.0,AWAY_TEAM
2026-02-27 20:00:00+00:00,28,6,2,2.0,0.0,HOME_TEAM
2026-02-28 12:30:00+00:00,28,13,4,1.0,1.0,DRAW
2026-02-28 15:00:00+00:00,28,15,14,3.0,4.0,AWAY_TEAM
2026-02-28 15:00:00+00:00,28,1,11,5.0,2.0,HOME_TEAM
2026-02-28 15:00:00+00:00,28,20,18,2.0,3.0,AWAY_TEAM
2026-02-28 17:30:00+00:00,28,10,12,0.0,1.0,AWAY_TEAM
2026-03-01 14:00:00+00:00,28,3,7,2.0,1.0,HOME_TEAM
2026-03-01 14:00:00+00:00,28,19,5,2.0,1.0,HOME_TEAM
2026-03-01 14:00:00+00:00,28,9,17,2.0,1.0,HOME_TEAM
2026-03-01 16:30:00+00:00,28,16,8,2.0,1.0,HOME_TEAM
2026-03-03 19:30:00+00:00,29,13,14,0.0,0.0,DRAW
2026-03-03 19:30:00+00:00,29,18,15,2.0,0.0,HOME_TEAM
2026-03-03 19:30:00+00:00,29,10,4,0.0,1.0,AWAY_TEAM
2026-03-03 20:15:00+00:00,29,6,1,2.0,1.0,HOME_TEAM
2026-03-04 19:30:00+00:00,29,2,8,1.0,4.0,AWAY_TEAM
2026-03-04 19:30:00+00:00,29,3,16,0.0,1.0,AWAY_TEAM
2026-03-04 19:30:00+00:00,29,19,11,0.0,1.0,AWAY_TEAM
2026-03-04 19:30:00+00:00,29,12,7,2.0,2.0,DRAW
2026-03-04 20:15:00+00:00,29,20,9,2.0,1.0,HOME_TEAM
2026-03-05 20:00:00+00:00,29,5,17,1.0,3.0,AWAY_TEAM
2026-03-14 15:00:00+00:00,30,4,3,,,
2026-03-14 15:00:00+00:00,30,15,13,,,
2026-03-14 17:30:00+00:00,30,16,18,,,
2026-03-14 17:30:00+00:00,30,8,20,,,
2026-03-14 20:00:00+00:00,30,11,12,,,
2026-03-15 14:00:00+00:00,30,17,10,,,
2026-03-15 14:00:00+00:00,30,9,2,,,
2026-03-15 14:00:00+00:00,30,7,19,,,
2026-03-15 16:30:00+00:00,30,1,5,,,
2026-03-16 20:00:00+00:00,30,14,6,,,
2026-03-20 20:00:00+00:00,31,13,9,,,
2026-03-21 00:00:00+00:00,31,12,17,,,
2026-03-21 12:30:00+00:00,31,3,1,,,
2026-03-21 15:00:00+00:00,31,19,15,,,
2026-03-21 17:30:00+00:00,31,18,8,,,
2026-03-21 20:00:00+00:00,31,10,14,,,
2026-03-22 12:00:00+00:00,31,20,4,,,
2026-03-22 14:15:00+00:00,31,2,11,,,
2026-03-22 14:15:00+00:00,31,5,7,,,
2026-04-10 19:00:00+00:00,32,11,6,,,
2026-04-11 11:30:00+00:00,32,16,13,,,
2026-04-11 14:00:00+00:00,32,17,20,,,
2026-04-11 14:00:00+00:00,32,14,18,,,
2026-04-11 14:00:00+00:00,32,15,3,,,
2026-04-11 14:00:00+00:00,32,7,2,,,
2026-04-11 16:30:00+00:00,32,1,19,,,
2026-04-12 13:00:00+00:00,32,4,5,,,
2026-04-12 15:30:00+00:00,32,8,12,,,
2026-04-13 19:00:00+00:00,32,9,10,,,
2026-04-18 11:30:00+00:00,33,14,19,,,
2026-04-18 14:00:00+00:00,33,20,13,,,
2026-04-18 14:00:00+00:00,33,7,15,,,
2026-04-18 14:00:00+00:00,33,2,4,,,
2026-04-18 14:00:00+00:00,33,10,6,,,
2026-04-18 16:30:00+00:00,33,5,3,,,
2026-04-18 19:00:00+00:00,33,8,9,,,
2026-04-19 13:00:00+00:00,33,18,1,,,
2026-04-19 15:30:00+00:00,33,12,16,,,
2026-04-20 19:00:00+00:00,33,17,11,,,
2026-04-24 19:00:00+00:00,34,4,7,,,
2026-04-25 11:30:00+00:00,34,19,2,,,
2026-04-25 14:00:00+00:00,34,13,10,,,
2026-04-25 14:00:00+00:00,34,1,17,,,
2026-04-25 14:00:00+00:00,34,11,18,,,
2026-04-25 14:00:00+00:00,34,6,5,,,
2026-04-25 16:30:00+00:00,34,16,20,,,
2026-04-26 13:00:00+00:00,34,15,12,,,
2026-04-26 15:30:00+00:00,34,3,8,,,
2026-04-27 19:00:00+00:00,34,9,14,,,
2026-05-02 14:00:00+00:00,35,13,17,,,
2026-05-02 14:00:00+00:00,35,2,5,,,
2026-05-02 14:00:00+00:00,35,16,19,,,
2026-05-02 14:00:00+00:00,35,14,11,,,
2026-05-02 14:00:00+00:00,35,8,7,,,
2026-05-02 14:00:00+00:00,35,18,12,,,
2026-05-02 14:00:00+00:00,35,10,15,,,
2026-05-02 14:00:00+00:00,35,9,1,,,
2026-05-02 14:00:00+00:00,35,20,3,,,
2026-05-02 14:00:00+00:00,35,6,4,,,
2026-05-09 14:00:00+00:00,36,4,9,,,
2026-05-09 14:00:00+00:00,36,3,6,,,
2026-05-09 14:00:00+00:00,36,17,18,,,
2026-05-09 14:00:00+00:00,36,15,2,,,
2026-05-09 14:00:00+00:00,36,19,13,,,
2026-05-09 14:00:00+00:00,36,1,8,,,
2026-05-09 14:00:00+00:00,36,12,14,,,
2026-05-09 14:00:00+00:00,36,7,20,,,
2026-05-09 14:00:00+00:00,36,5,10,,,
2026-05-09 14:00:00+00:00,36,11,16,,,
2026-05-17 14:00:00+00:00,37,13,12,,,
2026-05-17 14:00:00+00:00,37,2,1,,,
2026-05-17 14:00:00+00:00,37,16,15,,,
